_name,_gtfs_id,Address,HandicapAccessible,Escalator_Access,TTYPhone_Access,FullHighs_Access,MiniHighs_Access,Elevator_Access,MobileLift_Access,Ramp_Access,ParkingType,Operator ,RT/CR,Line,ParkingRate,SpacesAvailable,AccessibleParkingSpaces,AverageSpacesAvailable,BikeSpaces,ManagedByEmail,ManagedByLabel,ManagedByPhone,ManagedByWeb,PayByPhoneId,AdditionalNotes,Photo1,Photo2,Area_Map,Comments
Griggs/Long Ave,place-grigg,"Commonwealth Ave and Griggs St, Boston, MA",No,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,Griggs_Long001.jpg,Griggs_Long002.jpg,griggsmap.gif,
Halifax,Halifax,"6 Garden Rd, Halifax, MA 02338",Yes,None,No,Yes,No,No,No,No,Unattended Lot,MBTA,Commuter Rail,Kingston/Plymouth,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",402,10,0.57,8,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4436,For train information at Halifax Station tune to 1630 AM,,,,
Hamilton/Wenham,Hamilton/ Wenham,"Bay Rd and Walnut Rd, Hamilton, MA 01982",Yes,None,No,No,Yes,No,No,No,Unattended Lot,MBTA,Commuter Rail,Newburyport/Rockport,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",194,6,0.61,0,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4234,For train information at Hamilton/Wenham Station tune to 1630 AM,,,,
Hanson,Hanson,"1070 Main St, Hanson, MA 02341",Yes,None,No,Yes,No,No,No,No,Unattended Lot,MBTA,Commuter Rail,Kingston/Plymouth,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",482,8,0.59,8,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4437,For train information at Hanson Station tune to 1630 AM,,,,
Harvard Ave,place-harvd,"Commonwealth Ave and Harvard Ave, Boston, MA",Yes,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,HarvardAve001.jpg,HarvardAve002.jpg,harvmap.gif,
Harvard Square,place-harsq,"1400 Massachusetts Ave at 1 Brattle St, Cambridge, MA",Yes,Both,No,N/A,N/A,Yes,No,Yes,,,,,,,,,21,,,,,,,harvardsqphoto.gif,,harvardmap.gif,
Hastings,Hastings,"105 Viles St, Weston, MA 02493",No,None,No,No,No,No,No,No,Unattended Lot,,,,Free,6,,,0,,Town of Weston,781-786-5010,https://www.weston.org/389/Transportation-Access,,,,,,"Town of Weston is responsible for parking area snow removal and maintenance. Please contact MBTA Customer Service regarding station and platform snow removal, cleanliness and maintenance issues."
Haverhill,Haverhill,"1 Washington Ave, Haverhill, MA 01832",Yes,None,No,No,Yes,No,No,No,Unattended Lot,MBTA,Commuter Rail,Haverhill,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",159,6,0.52,0,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4235,For train information at Haverhill Station tune to 1640 AM,,,,
Hawes,place-hwsst,"Beacon St and Hawes St, Brookline, MA",No,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,Hawes001.jpg,Hawes002.jpg,hawesmap.gif,
Haymarket,place-haecl,"136 Blackstone St, Boston, MA 02109",Yes,Both,No,N/A,N/A,Yes,No,No,Garage,MBTA,Rapid Transit,GreenLine,"Daily Weekdays - 30 min or less: $6, 1 hr: $10, 1.5 hrs: $15, 2 hrs: $20, 3 hrs: $25, 4 hrs: $28, over 4 hrs until 5 AM: $33. | Daily Nights and Weekends - 30 min or less: $6, 1 hr: $10, 1.5 hrs: $15, over 1.5 hrs until 5 AM: $16 | Monthly: $340, Monthly North End resident: $150, Monthly reverse commute (4 PM - 9 AM): $125",308,7,,0,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,,,haymarketphoto.gif,<NULL>,haymarketmap.gif,
Heath,place-hsmnl,"Heath St at VA Hospital, Boston, MA",Yes,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,HeathSt001.jpg,,heathmap.gif,
Herald St,49003,"Washington St at Herald St, Boston, MA",Yes,N/A,No,N/A,N/A,No,No,No,,,,,,,,,2,,,,,,,,,,
Herald St,15095,"Washington St at Herald St, Boston, MA",Yes,N/A,No,N/A,N/A,No,No,No,,,,,,,,,2,,,,,,,,,,
Hersey,Hersey,"Great Plain Ave and Broad Meadow Rd, Needham, MA 02492",Yes,None,No,No,Yes,No,No,No,Unattended Lot,MBTA,Commuter Rail,Needham,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",318,8,0.52,11,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4371,For train information at Hershey Station tune to 1630 AM,,,,Parking often fills up. We recommend you arrive before 1:30 PM.
Highland,Highland,"Corey St andHastings St, West Roxbury, MA 02132",Yes,None,No,No,Yes,No,No,No,Unattended Lot,MBTA,Commuter Rail,Needham,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",175,6,<42%,,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4368,For train information at Highland Station tune to 1680 AM,,,,
Hingham Shipyard,Boat-Hingham,"349 Lincoln St, Hingham, MA 02043",Yes,N/A,No,N/A,N/A,N/A,No,Yes,Unattended Lot,MBTA,Ferry,Ferry,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",1690,29,0.5,,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4438,,,,,
Holbrook/Randolph,Holbrook/ Randolph,"Union St and Center St, Randolph, MA 02368",Yes,None,No,Yes,No,No,No,No,Unattended Lot,MBTA,Commuter Rail,Middleborough/Lakeville,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",369,14,0.57,8,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4439,For train information at Holbrook/Randolph Station tune to 1630 AM,,,,
Hyde Park,Hyde Park,"1 Pingree St, Hyde Park, MA 02136",Yes,None,No,No,Yes,No,No,Yes,Unattended Lot,MBTA,Commuter Rail,Providence/Stoughton,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",119,4,0.58,10,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4369,For train information at Hyde Park Station tune to 1630 AM,,,,
Hynes Convention Center,place-hymnl,"100 Massachusetts Ave at 360 Newbury St, Boston, MA",No,Up,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,hynesphoto.gif,,hynesmap.gif,
Ipswich,Ipswich,"4 Peatfield St, Ipswich, MA 01938",Yes,None,No,No,Yes,No,No,,Surface Lot,,,,Free,170,4,,8,,Town of Ipswich,978-356-6611,https://www.ipswichma.gov/616/Parking,,For train information at Ipswich Station tune to 1630 AM,,,,"Town of Ipswich is responsible for parking lot snow removal and maintenance. Please contact MBTA Customer Service regarding station and platform snow removal, cleanliness and maintenance issues."
Islington,Islington,"48 Carroll Ave, Westwood, MA 02090",No,None,No,No,No,No,No,No,Unattended Lot,MBTA,Commuter Rail,Franklin,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",39,1,0.67,0,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4370,,,,,
Jackson Square,place-jaksn,"1500 Columbus Ave at 240 Centre St, Boston, MA",Yes,Up,No,N/A,N/A,Yes,No,No,,,,,,,,,8,,,,,,,JacksonSq001.jpg,JacksonSq002.jpg,jacksquaremap.gif,
JFK/UMass,place-jfk,"599 Old Colony Ave Boston, MA 02127-3805",Yes,None,No,Yes,N/A,Yes,No,Yes,,,,,,,,,18,,,,,,,JFK_UMASS001.jpg,JFK_UMASS002.jpg,jfkumassmap.gif,
Kendal Green,Kendal Green,"198 Church St, Weston, MA",No,None,No,No,No,No,No,No,Unattended Lot,,,,Free,57,,,0,,Town of Weston,781-786-5010,http://www.weston.org,,For train information at Kendal Green Station tune to 1630 AM,,,,"Town of Weston is responsible for parking lot snow removal and maintenance. Please contact MBTA Customer Service regarding station and platform snow removal, cleanliness and maintenance issues."
Kendall,place-knncl,"300 Main St, Cambridge, MA 02142",Yes,Up,No,N/A,N/A,Yes,No,No,,,,,,,,,58,,,,,,,kendallSquare001.jpg,kendallSquare002.jpg,kendallmap.gif,
Kenmore,place-kencl,"Commonwealth Ave and Kenmore St, Boston, MA 02215",Yes,Up,No,N/A,N/A,Yes,No,No,,,,,,,,,8,,,,,,,KenmoreBusCanopy.jpg,KenmoreBeacon.jpg,kenmoremap.gif,
Kent,place-kntst,"Beacon St and Kent St/Powell St, Brookline, MA, 02446",No,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,Kent001.jpg,Kent002.jpg,kentstmap.gif,
Kingston/Route 3,Kingston,"134 Marion Dr, Kingston, MA 02364",Yes,None,No,Yes,No,No,No,No,Unattended Lot,MBTA,Commuter Rail,Kingston/Plymouth,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",1039,22,0.75,0,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4440,For train information at Kingston/Route 3 Station tune to 1630 AM,,,,
Lawrence,Lawrence,"S Union St and Merrimack St, Lawrence, MA 01843",Yes,None,No,No,Yes,No,No,No,Garage,,,,"Daily: $1 per hour, $8 daily maximum to 2 AM. $4 overnight charge after 2 AM. $4 per day for Commuter Rail customers with proof. | Monthly: $51 for Commuter Rail customers with proof ($75 for other parkers)",400,5,,0,,Merrimack Valley Regional Transity Authority,978-469-6878,http://www.mvrta.com/,,,,,,"Merrimack Valley RTA is responsible for parking lot snow removal, maintenance, and fee collection."
Lechmere,place-lech,"Cambridge St and O'Brien Hwy, Cambridge, MA 02141",Yes,None,No,N/A,N/A,No,yes,No,,,,,,,,,0,,,,,,,lechmerephoto.gif,,lechmeremap.gif,This parking facility is closed.
Lenox St,60,"Washington St and Lenox St, Boston, MA 02118",Yes,N/A,No,N/A,N/A,No,No,No,,,,,,,,,2,,,,,,,,,,
Lenox St,4,"Washington St and Lenox St, Boston, MA 02118",Yes,N/A,No,N/A,N/A,No,No,No,,,,,,,,,2,,,,,,,,,,
Lincoln,Lincoln,"160 Lincoln Rd, Lincoln, MA 01773",No,None,No,No,No,No,No,No,Surface Lot,,,,Daily: $3 (free on weekends and holidays),161,3,,21,,Town of Lincoln,781-259-8113,https://www.lincolntown.org/Faq.aspx,,For train information at Lincoln Station tune to 1630 AM,,,,"Town of Lincoln is responsible for parking lot snow removal, maintenance and fee collection. Please contact MBTA Customer Service regarding station and platform snow removal, cleanliness and maintenance issues."
Littleton/Route 495,Littleton / Rte 495,"Grimes Ln and Foster St, Littleton, MA 01460",Yes,None,No,Yes,No,No,No,Yes,Unattended Lot,MBTA,Commuter Rail,Fitchburg,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",246,6,0.02,0,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4256,,,,,Parking often fills up. We recommend you arrive before 7 AM.
Logan Airport Ferry Terminal,Boat-Logan,"Harborside Dr, East Boston, MA 02128",Yes,N/A,No,N/A,N/A,N/A,No,Yes,Garage Parking Available,,,,,,,,,,,,,,,,,,
Long Wharf Ferry Terminal,Boat-Long,"Long Wharf, Boston, MA 02110",Yes,N/A,No,N/A,N/A,N/A,No,Yes,St and Garage Parking Only,,,,,,,,,,,,,,,,,,
Longwood,place-longw,"30 Chapel St, Boston, MA, 02446",No,None,No,N/A,No,No,No,No,Unattended Lot,,Rapid Transit,,$2 per hour,11,,,15,,Town of Brookline,617-730-2177,http://www.brooklinema.gov/147/Parking-Meters,,,Longwood001.jpg,Longwood002.jpg,longwoodmap.gif,
Longwood Medical Area,place-lngmd,"Huntington Ave and Longwood Ave, Boston, MA, 02115",Yes,None,No,N/A,No,No,No,No,,,,,,,,,0,,,,,,,LongwoodMed001.jpg,,longwoodmedicalmap.gif,
Lowell,Lowell,"101 Thorndike St, Lowell, MA 01852",Yes,None,No,No,Yes,Yes,No,No,Garage,,,,Daily: $8 | Overnight: $16,695,7,,18,,Lowell Regional Transit Authority,978-459-0164 ext. 206,http://lrta.com/parking/,,,,,,"Lowell Regional Transit Authority is responsible for parking facility fee collection, snow removal and maintenance."
Lynn,Lynn,"325 Broad St, Lynn, MA 01901",Yes,None,No,Yes,No,Yes,No,No,Garage,MBTA,Commuter Rail,Newburyport/Rockport,"Daily: $4 PayByPhone, $4.50 invoice",600,15,0.79,14,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4237,,,,,
Malden Center,place-mlmnl,"Commercial St and Pleasant St, Malden, MA 02148",Yes,Up,No,Yes,No,Yes,No,No,Attended Lot,MBTA,Rapid Transit,OrangeLine,"Daily: $6 PayByPhone, $6.50 invoice | Monthly: $125",186,6,<1%,66,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4398,,MaldenCenter001.jpg,MaldenCenter002.jpg,maldencentermap.gif,
Manchester,Manchester,"40 Beach St, Manchester, MA 01944",Yes,None,No,No,Yes,No,No,No,Unattended Lot,,,,Free,71,6,,7,,Town of Manchester,978-526-2040,http://www.manchester.ma.us,,For train information at Manchester Station tune to 1630 AM,,,,"Town of Manchester is responsible for parking lot maintenance. Please contact MBTA Customer Support regarding station and platform snow removal, cleanliness, and maintenance issues."
Mansfield,Mansfield,"1 Crocker St, Mansfield, MA 02048",Yes,None,No,No,Yes,No,No,No,,,,,"Daily: $2 residents with sticker, $4 non-residents (free on weekends)",806,,,12,,Town of Mansfield,508-261-7466,http://www.mansfieldma.com/public-safety/police-2/mbta-parking/,,For train information at Mansfield Station tune to 1640 AM,,,,
Massachusetts Ave,place-masta,"393 Massachusetts Ave, Boston, MA 02118",Yes,Up,No,N/A,N/A,Yes,No,Yes,,,,,,,,,24,,,,,,,Mass Ave001.jpg,Mass Ave002.jpg,massavemap.gif,
Mattapan,place-matt,"500 River St at 1670 Blue Hill Ave, Boston, MA 02126",Yes,None,No,N/A,Yes,No,No,No,Unattended Lot,MBTA,Rapid Transit,RedLine,"Daily: $4 PayByPhone, $4.50 invoice",207,4,0.79,8,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4443,,Mattapan001.jpg,Mattapan002.jpg,mattastationmap.gif,
Maverick,place-mvbcl,"Maverick Sq and Summer St, Boston, MA, 02128",Yes,Up,No,N/A,N/A,Yes,No,No,,,,,,,,,8,,,,,,,Maverick001.jpg,Maverick002.jpg,maverickmap.gif,
Melnea Cass Blvd,61,"Washington St and Melnea Cass Blvd, Boston, MA",Yes,N/A,No,N/A,N/A,N/A,No,No,,,,,,,,,2,,,,,,,,,,
Melnea Cass Blvd,3,"Washington St and Melnea Cass Blvd, Boston, MA",Yes,N/A,No,N/A,N/A,N/A,No,No,,,,,,,,,2,,,,,,,,,,
Melrose Highlands,Melrose Highlands,"497 Franklin St, Melrose, MA 02176",Yes,None,No,No,Yes,No,No,No,Surface Lot,,,,Daily: $2,77,2,,0,,City of Melrose,781-665-0142,https://www.cityofmelrose.org/parking-office,,For train information at Melrose Highlands Station tune to 1630 AM,,,,"City of Melrose is responsible for parking lot snow removal, maintenance, and fee collection."
Melrose/Cedar Park,Melrose Cedar Park,"Cedar Park and W Emerson St, Melrose, MA 02176",No,None,No,No,No,No,No,No,Surface Lot,,,,Daily: $3 (free after 12 PM and on weekends),82,3,,0,,City of Melrose,781-665-0142,https://www.cityofmelrose.org/parking-office,,For train information at Melrose/Cedar Park Station tune to 1630 AM,,,,"City of Melrose is responsible for parking lot snow removal, maintenance, and fee collection."
Middleborough/Lakeville,Middleborough/ Lakeville,"125 Commercial Dr, Lakeville, MA 02347",Yes,None,No,Yes,No,No,No,No,Unattended Lot,MBTA,Commuter Rail,Middleborough/Lakeville,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",769,13,0.54,8,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4459,For train information at Middleborough/Lakeville Station tune to 1630 AM,,,,
Milton,place-miltt,"1 Adams St at 1 Elliot St, Milton, MA 02186",Yes,None,No,N/A,Yes,No,No,No,Unattended Lot,MBTA,Rapid Transit,RedLine,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",36,3,0.58,8,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4461,,Milton001.jpg,Milton002.jpg,miltonmap.gif,Parking often fills up. We recommend you arrive before 7 AM.
Mishawum,Mishawum,"250 Mishawum Rd, Woburn, MA 01801",No,None,No,No,N/A,No,No,No,,,,,,,,,0,,,,,,,,,,This parking facility is closed.
Mission Park,place-mispk,"Huntington Ave and Mission Park Dr, Boston, MA 02115",No,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,MissionPark001.jpg,MissionPark002.jpg,missionmap.gif,
Montello,Montello,"150 Spark St, Brockton, MA 02302",Yes,None,No,Yes,No,No,No,No,Unattended Lot,MBTA,Commuter Rail,Middleborough/Lakeville,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",347,11,0.5,16,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4462,For train information at Montello Station tune to 1630 AM,,,,
Montserrat,Montserrat,"180 Essex St, Beverly, MA 01915",Yes,None,No,No,Yes,No,No,No,Unattended Lot,MBTA,Commuter Rail,Newburyport/Rockport,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",117,4,0.59,7,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4238,For train information at MontserratStation tune to 1630 AM,,,,
Morton,Morton St,"865 Morton St, Mattapan, MA 02126",Yes,None,No,Yes,No,No,No,No,,,,,,,,,0,,,,,,,,,,"Please contact MBTA Customer Service regarding station and platform snow removal, cleanliness and maintenance issues."
Museum of Fine Arts,place-mfa,"Huntington Ave and Louis Prang St/Ruggles St, Boston, MA 02115",Yes,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,Museum001.jpg,Wentworth_Campus_Map.pdf,muesoffineartsmap.gif,
Nantasket Junction,Nantasket Junction,"190 Summer St, Hingham, MA 02043",Yes,None,No,Yes,No,No,No,No,Unattended Lot,MBTA,Commuter Rail,Greenbush,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",495,8,0.83,,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4463,For train information at Nantasket Junction Station tune to 1630 AM,,,,
Natick,Natick Center,"1 Walnut St, Natick, MA 01760",No,None,No,No,No,No,No,No,Unattended Lot,,,,Town permit required,71,4,,0,,Town of Natick,508-647-6450,http://www.natickma.gov/166/Transportation-Parking,,,,,,Town of Natick is responsible for parking lot snow removal and maintenance.
Needham Center,Needham Center,"Great Plain Ave and Eaton Sq, Needham, MA 02492",Yes,None,No,No,Yes,No,No,No,,,,,Town permit required,35,,N/A,6,,Town of Needham,781-455-7500,http://www.needhamma.gov,,,,,,"Town of Needham is responsible for parking lot snow removal, maintenance, and fee collection."
Needham Heights,Needham Heights,"95 Avery Square, Needham, MA 02494",Yes,None,No,No,Yes,No,No,No,Unattended Lot,MBTA,Commuter Rail,Needham,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",100,4,<28%,6,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4930,For train information at Needham Heights Station tune to 1630 AM,,,,
Needham Junction,Needham Junction,"51 Junction St, Needham, MA 02492",Yes,None,No,No,Yes,No,No,No,Unattended Lot,MBTA,Commuter Rail,Needham,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",127,4,<24%,6,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4373,For train information at Needham Junction Station tune to 1620 AM,,,,Parking often fills up. We recommend you arrive before 6:30 AM.
Newburyport,Newburyport,"25 Boston Way, Newburyport, MA 01950",Yes,None,No,,No,No,No,No,Unattended Lot,MBTA,Commuter Rail,Newburyport/Rockport,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",814,24,0.79,22,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4239,For train information at Newburyport Station tune to 1630 AM,,,,
Newmarket,Newmarket,"1070 Massachusetts Ave, Boston, MA 02118",Yes,None,No,Yes,No,No,No,Yes,,,,,,,,,20,,,,,,,,,,
Newton Centre,place-newto,"Union St between Herrick St and Langley Road, Newton, MA 02459",Yes,None,No,N/A,N/A,No,No,Yes,,,,,,,,,15,,,,,,,NewtonCtr001.jpg,NewtonCtr002.jpg,newtoncentremap.gif,
Newton Highlands,place-newtn,"Walnut St and Lincoln St, Newton, MA 02461",Yes,None,No,N/A,N/A,No,yes,No,,,,,,,,,0,,,,,,,NewtonHighlands001.jpg,NewtonHighlands002.jpg,newtonhighlandmap.gif,
Newton St,1788,"Washington St and Newton St, Boston, MA, 02118",Yes,N/A,No,N/A,N/A,No,No,No,,,,,,,,,2,,,,,,,,,,
Newtonville,Newtonville,"770 Washington St Newton, MA 02460",No,None,No,No,No,No,No,No,,,,,,,,,0,,,,,,,,,,
Norfolk,Norfolk,"9 Rockwood Rd, Norfolk, MA 02056",Yes,None,No,No,Yes,No,No,No,Unattended Lot,MBTA,Commuter Rail,Franklin,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",532,11,<42%,8,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4391,For train information at Norfolk Station tune to 1640 AM,,,,
North Beverly,North Beverly,"Enon St and Dodge St, Beverly, MA 01915",Yes,None,No,No,Yes,No,No,No,Unattended Lot,MBTA,Commuter Rail,Newburyport/Rockport,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",87,4,0.69,0,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4240,For train information at North Beverly Station tune to 1630 AM,,,,
North Billerica,North Billerica,"Ruggles St and Station St, North Billerica, MA 01862",Yes,None,No,No,Yes,No,No,No,Garage,,,,"Daily: $2 residents with sticker, $4 non-residents",541,13,0.35,14,,Lowell Regional Transit Authority,978-459-0164 ext. 206,http://lrta.com/parking/,,For train information at North Billerica Station tune to 1630 AM,,,,"Lowell Regional Transit Authority is responsible for parking lot snow removal, maintenance, and fee collection."
North Leominster,North Leominster,"44 Nashua St, Leominster, MA, 01453",Yes,None,No,No,Yes,No,No,No,Garage,,Commuter Rail,,Daily: $3 | Monthly: $50,436,7,0.15,0,,Montachusett Regional Transit Authority,978-345-7711,http://www.mrta.us/about/commuter-rail-parking/leominster,,For train information at North Leominster Station tune to 1630 AM,,,,
North Quincy,place-nqncy,"Hancock St and Hunt St, Quincy, MA 02171",Yes,Up,No,N/A,N/A,Yes,No,No,Attended Lot,MBTA,Rapid Transit,RedLine,"Daily: $5 PayByPhone, $5.50 invoice | Monthly: $105",1184,26,<31%,43,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4365,,nquincyphoto.gif,northquincy.gif,northquincymap.gif,
North Scituate,North Scituate,"777 Country Way, Scituate, MA 02066",Yes,None,No,Yes,No,No,No,No,Unattended Lot,MBTA,Commuter Rail,Greenbush,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",279,5,0.54,,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4464,For train information at North Scituate Station tune to 1630 AM,,,,"County Way Rd Lot operated by Republic Parking System. Bailey Rd Lot operated by Town of Scituate. Please contact MBTA Customer Service regarding station and platform snow removal, cleanliness, and maintenance issues."
North Station,place-north,"135 Causeway St, Boston MA 02114",Yes,Both,No,Yes,N/A,Yes,No,No,Garage,,,,"30 Min: $7, 1 hr: $14, 1-2 hrs: $21, 2-3 hrs: $25, 3-12 hrs: $30. Daily Max: $68. Events: $48.",1275,38,,20,,ProPark,617-222-3042,https://www.propark.com,,,NoSta_Green001.jpg,NoSta_Green_IB_lg.jpg,northmap.gif,Parking garage is located underneath TD Garden.
North Wilmington,North Wilmington,"370 Middlesex Ave, Wilmington, MA 01887",No,None,No,No,No,No,No,No,Off St,,,,Free,20,,,0,,Town of Wilmington,978-658-3311,http://www.wilmingtonma.gov,,,,,,"Town of Wilmington is responsible for parking lot maintenance. Please contact MBTA Customer Service regarding station and platform snow removal, cleanliness, and maintenance issues."
Northeastern University,place-nuniv,"Huntington Ave and Opera Pl, Boston, MA, 02115",Yes,N/A,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,NorthEastern001.jpg,NorthEastern002.jpg,northeasternmap.gif,
Northern Ave & Harbor,247,"Northern Ave and Harbor St, Boston, MA 02210",Yes,N/A,No,N/A,N/A,No,No,No,,,,,,,,,,,,,,,,,,,
Northern Ave & Tide,31257,"Northern Ave and Tide St, Boston, MA 02210",Yes,N/A,No,N/A,N/A,No,No,No,,,,,,,,,,,,,,,,,,,
Norwood Central,Norwood Central,"164 Broadway, Norwood, MA 02062",Yes,None,No,No,Yes,No,No,No,Unattended Lot,MBTA,Commuter Rail,Franklin,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",781,14,0.54,27,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4375,For train information at Norwood Central Station tune to 1700 AM,,,,
Norwood Depot,Norwood Depot,"14 Hill St, Norwood, MA 02062",Yes,None,No,No,Yes,No,No,No,Unattended Lot,MBTA,Commuter Rail,Franklin,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",219,5,0.81,0,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4376,For train information at Norwood Depot Station tune to 1680 AM,,,,
Oak Grove,place-ogmnl,"Washington St at Winter St, Malden 02148",Yes,Up,No,N/A,N/A,Yes,No,No,Unattended Lot,MBTA,Rapid Transit,OrangeLine,"Daily: $6 PayByPhone, $6.50 invoice | Monthly: $200 Premium",786,8,<1%,42,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4278,,OakGrove001.gif,OakGrove002.gif,oakgrovemap.gif,
Orient Heights,place-orhte,"1000 Bennington St, East Boston, MA 02128",Yes,None,No,N/A,N/A,No,No,No,Attended Lot,MBTA,Rapid Transit,BlueLine,"Daily: $5 PayByPhone, $5.50 invoice | Monthly: $105",428,3,<41%,8,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4388,,Orient Heights001.jpg,Orient Heights002.jpg,orientmap.gif,
Packards Corner,place-brico,"Commonwealth Ave and Brighton Ave, Boston, MA, 02215",No,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,BrightonAve001.jpg,BrightonAve002.jpg,brightavemap.gif,
Park,place-pktrm,"Tremont St and Winter St, Boston, MA 02108",Yes,Up,No,N/A,N/A,Yes,No,No,,,,,,,,,0,,,,,,,ParkSt001.jpg,park_st.jpg,parkstmap.gif,
Pemberton Point Ferry Terminal,Boat-Hull,"180 Main St, Hull, MA 02045",Yes,N/A,No,N/A,N/A,N/A,No,Yes,,,,,Free,100,,,,,Town of Hull,,http://www.bostonharborislands.org/directions-fees,,,,,,"Parking also available at Hull High School. The town of Hull is responsible for parking lot, snow removal, and maintenance."
Pleasant,place-plsgr,"Commonwealth Ave and Pleasant St, Boston, MA 02215",No,None,No,N/A,N/A,No,No,No,,,,,,,,,0,,,,,,,PleasantSt001.jpg,PleasantSt002.jpg,pleasantmap.gif,
Plimptonville,Plimptonville,"185 Plimpton St, Walpole, MA 02081",No,None,No,No,No,No,No,No,,,,,,,,,0,,,,,,,,,,"Please contact MBTA Customer Support regarding station and platform snow removal, cleanliness and maintenance issues."
Plymouth,Plymouth,"385 Court St, Plymouth, MA 02360",Yes,None,No,Yes,No,No,No,No,Unattended Lot,MBTA,Commuter Rail,Kingston/Plymouth,"Daily: $4 PayByPhone, $4.50 invoice | Monthly: $70",96,4,0.64,8,,Republic Parking System,617-222-3200,http://www.parkmbta.com/,4465,,,,,
Porter Square,place-portr,"1899 Massachusetts Ave, Cambridge, MA 02140",Yes,Both,No,No,Yes,Yes,No,No,,,,,,,,,34,,,,,,,portersqphoto.gif,porter.gif,portersquaremap.gif,
Prides Crossing,Prides Crossing,"600 Hale St, Beverly, MA 01915",No,None,No,No,No,No,No,No,,,,,,,,,0,,,,,,,,,,"Please contact MBTA Customer Service regarding station and platform snow removal, cleanliness, and maintenance issues."
